# source, target, id, weight
83,85,2275,-1
83,84,2276,-1
83,92,2277,-1
86,87,2361,1
86,81,2362,1
86,83,2363,1
86,93,2364,1
86,79,2365,1
86,85,2366,1
86,73,2367,1
86,79,2368,2
86,76,2369,2
86,69,2370,2
86,87,2371,2
86,50,2372,-2
89,86,2395,1
89,79,2396,1
89,94,2397,1
89,87,2398,1
89,92,2399,1
89,93,2400,1
89,81,2401,1
89,88,2402,1
89,76,2403,1
89,90,2404,1
89,84,2405,1
89,50,2406,1
89,69,2407,1
89,78,2408,1
89,85,2409,1
89,51,2410,1
89,77,2411,1
89,91,2412,1
89,73,2413,1
89,77,2414,2
89,83,2415,2
89,72,2416,2
89,98,2417,2
89,44,2418,2
89,88,2419,2
89,76,2420,-2
93,86,2434,1
93,51,2435,1
93,88,2436,1
93,44,2437,1
93,50,2438,1
93,69,2439,1
93,85,2440,1
93,77,2441,2
93,73,2442,2
93,83,2443,2
93,72,2444,2
93,79,2445,2
93,98,2446,2
93,78,2447,2
93,69,2448,2
93,76,2449,-1
93,89,2450,-1
93,90,2451,-1
93,84,2452,-1
93,91,2453,-1
93,87,2454,-1
93,76,2455,-2
94,89,2356,-1
94,77,2357,-1
94,50,2358,-1
94,93,2359,-1
94,93,2360,-2
95,0,1949,1
95,69,1950,1
95,74,1951,1
95,79,1952,-1
96,18,2089,1
96,43,2090,1
96,3,2091,1
96,58,2092,1
96,53,2093,1
96,47,2094,1
96,103,2095,1
96,70,2096,1
96,59,2097,1
96,75,2098,1
96,60,2099,1
96,61,2100,1
96,74,2101,1
96,97,2102,1
96,48,2103,1
96,78,2104,1
96,57,2105,1
96,71,2106,1
96,65,2107,1
96,67,2108,1
96,102,2109,1
96,64,2110,1
96,80,2111,1
96,49,2112,1
96,68,2113,1
96,95,2114,1
96,66,2115,1
96,32,2116,1
96,32,2117,2
96,46,2118,2
96,100,2119,2
96,101,2120,2
96,99,2121,2
96,98,2122,2
96,89,2123,2
98,100,2335,1
98,43,2336,1
98,81,2337,1
98,88,2338,1
98,83,2339,1
98,44,2340,1
98,50,2341,1
98,79,2342,1
98,53,2343,1
98,51,2344,1
98,96,2345,1
98,102,2346,1
98,89,2347,1
98,77,2348,1
98,93,2349,1
98,96,2350,2
98,78,2351,2
98,44,2352,2
99,61,2124,1
99,58,2125,1
99,101,2126,1
99,96,2127,1
99,60,2128,1
99,32,2129,1
99,58,2130,2
99,100,2131,2
99,101,2132,2
99,66,2133,-1
99,3,2134,-1
99,65,2135,-2
99,79,2136,-2
99,93,2137,-2
100,18,1953,1
100,89,1954,1
100,43,1955,1
100,97,1956,1
100,46,1957,1
100,53,1958,1
100,78,1959,1
100,96,1960,1
100,18,1961,2
100,101,1962,2
100,99,1963,2
100,97,1964,2
100,74,1965,-1
100,48,1966,-1
100,47,1967,-1
100,103,1968,-1
100,57,1969,-1
100,45,1970,-2
100,102,1971,-2
100,93,1972,-2
101,75,2068,1
101,102,2069,1
101,68,2070,1
101,71,2071,1
101,60,2072,2
101,32,2073,2
101,61,2074,2
101,58,2075,2
101,46,2076,2
101,70,2077,2
101,100,2078,2
101,43,2079,2
101,96,2080,2
101,99,2081,2
101,53,2082,2
101,74,2083,2
101,79,2084,2
101,98,2085,2
101,78,2086,2
101,89,2087,2
101,93,2088,2
103,72,2151,1
103,51,2152,1
103,88,2153,1
103,83,2154,1
103,98,2155,1
103,50,2156,1
103,73,2157,1
103,78,2158,1
103,77,2159,2
103,44,2160,2
103,88,2161,2
103,94,2162,-1
